Precision,Recall,Threshold,Model
0.1501,1.0,0.0012,GradientBoosting
0.1512,1.0,0.0013,GradientBoosting
0.1527,1.0,0.0013,GradientBoosting
0.1538,1.0,0.0013,GradientBoosting
0.1525,0.9839,0.0016,GradientBoosting
0.1537,0.9839,0.002,GradientBoosting
0.1548,0.9839,0.0055,GradientBoosting
0.1535,0.9677,0.0086,GradientBoosting
0.1546,0.9677,0.0099,GradientBoosting
0.1558,0.9677,0.0113,GradientBoosting
0.1571,0.9677,0.0121,GradientBoosting
0.1583,0.9677,0.0134,GradientBoosting
0.1596,0.9677,0.0163,GradientBoosting
0.1582,0.9516,0.0169,GradientBoosting
0.1595,0.9516,0.0201,GradientBoosting
0.1608,0.9516,0.0219,GradientBoosting
0.1621,0.9516,0.0269,GradientBoosting
0.1607,0.9355,0.03,GradientBoosting
0.162,0.9355,0.031,GradientBoosting
0.1577,0.9032,0.0347,GradientBoosting
0.1591,0.9032,0.0357,GradientBoosting
0.1576,0.8871,0.0374,GradientBoosting
0.159,0.8871,0.0402,GradientBoosting
0.1603,0.8871,0.0443,GradientBoosting
0.1618,0.8871,0.0455,GradientBoosting
0.1602,0.871,0.0459,GradientBoosting
0.1587,0.8548,0.0464,GradientBoosting
0.1601,0.8548,0.0503,GradientBoosting
0.1616,0.8548,0.0508,GradientBoosting
0.1631,0.8548,0.0519,GradientBoosting
0.1646,0.8548,0.0536,GradientBoosting
0.163,0.8387,0.0549,GradientBoosting
0.1646,0.8387,0.058,GradientBoosting
0.1661,0.8387,0.059,GradientBoosting
0.1645,0.8226,0.0598,GradientBoosting
0.1661,0.8226,0.0602,GradientBoosting
0.1678,0.8226,0.0615,GradientBoosting
0.1694,0.8226,0.0621,GradientBoosting
0.1711,0.8226,0.0657,GradientBoosting
0.1729,0.8226,0.0669,GradientBoosting
0.1712,0.8065,0.068,GradientBoosting
0.173,0.8065,0.0691,GradientBoosting
0.1748,0.8065,0.0708,GradientBoosting
0.1767,0.8065,0.0721,GradientBoosting
0.1786,0.8065,0.0737,GradientBoosting
0.1805,0.8065,0.0752,GradientBoosting
0.1825,0.8065,0.0764,GradientBoosting
0.1808,0.7903,0.0775,GradientBoosting
0.1828,0.7903,0.0782,GradientBoosting
0.1811,0.7742,0.0787,GradientBoosting
0.1832,0.7742,0.0792,GradientBoosting
0.1853,0.7742,0.0803,GradientBoosting
0.1875,0.7742,0.0832,GradientBoosting
0.1818,0.7419,0.0853,GradientBoosting
0.184,0.7419,0.0873,GradientBoosting
0.1822,0.7258,0.0889,GradientBoosting
0.1844,0.7258,0.0909,GradientBoosting
0.1826,0.7097,0.0919,GradientBoosting
0.1849,0.7097,0.0943,GradientBoosting
0.183,0.6935,0.0954,GradientBoosting
0.1853,0.6935,0.0986,GradientBoosting
0.1878,0.6935,0.0995,GradientBoosting
0.1903,0.6935,0.1015,GradientBoosting
0.1928,0.6935,0.1026,GradientBoosting
0.1909,0.6774,0.1039,GradientBoosting
0.1935,0.6774,0.1067,GradientBoosting
0.1963,0.6774,0.1077,GradientBoosting
0.1943,0.6613,0.1083,GradientBoosting
0.1923,0.6452,0.1098,GradientBoosting
0.1951,0.6452,0.112,GradientBoosting
0.198,0.6452,0.1137,GradientBoosting
0.196,0.629,0.1156,GradientBoosting
0.1939,0.6129,0.1193,GradientBoosting
0.1917,0.5968,0.1202,GradientBoosting
0.1947,0.5968,0.1221,GradientBoosting
0.1872,0.5645,0.1235,GradientBoosting
0.1848,0.5484,0.1248,GradientBoosting
0.1823,0.5323,0.1262,GradientBoosting
0.1798,0.5161,0.1284,GradientBoosting
0.1829,0.5161,0.1344,GradientBoosting
0.1744,0.4839,0.1352,GradientBoosting
0.1775,0.4839,0.1364,GradientBoosting
0.1747,0.4677,0.1405,GradientBoosting
0.1718,0.4516,0.144,GradientBoosting
0.175,0.4516,0.1452,GradientBoosting
0.1783,0.4516,0.1457,GradientBoosting
0.1818,0.4516,0.1465,GradientBoosting
0.1722,0.4194,0.1496,GradientBoosting
0.1757,0.4194,0.1514,GradientBoosting
0.1793,0.4194,0.1522,GradientBoosting
0.1831,0.4194,0.1539,GradientBoosting
0.1871,0.4194,0.1591,GradientBoosting
0.1838,0.4032,0.1623,GradientBoosting
0.1805,0.3871,0.1634,GradientBoosting
0.1846,0.3871,0.1657,GradientBoosting
0.189,0.3871,0.1685,GradientBoosting
0.1935,0.3871,0.1716,GradientBoosting
0.1983,0.3871,0.1781,GradientBoosting
0.1949,0.371,0.1798,GradientBoosting
0.2,0.371,0.1838,GradientBoosting
0.1964,0.3548,0.1881,GradientBoosting
0.2018,0.3548,0.1892,GradientBoosting
0.1887,0.3226,0.19,GradientBoosting
0.1942,0.3226,0.1941,GradientBoosting
0.2,0.3226,0.1951,GradientBoosting
0.1959,0.3065,0.1976,GradientBoosting
0.2021,0.3065,0.2046,GradientBoosting
0.1868,0.2742,0.2067,GradientBoosting
0.1818,0.2581,0.2089,GradientBoosting
0.1765,0.2419,0.2131,GradientBoosting
0.1707,0.2258,0.215,GradientBoosting
0.1772,0.2258,0.2167,GradientBoosting
0.1842,0.2258,0.2247,GradientBoosting
0.1781,0.2097,0.2274,GradientBoosting
0.1714,0.1935,0.2307,GradientBoosting
0.1642,0.1774,0.2403,GradientBoosting
0.1562,0.1613,0.2444,GradientBoosting
0.1639,0.1613,0.2501,GradientBoosting
0.1724,0.1613,0.2559,GradientBoosting
0.1636,0.1452,0.269,GradientBoosting
0.1731,0.1452,0.2755,GradientBoosting
0.1633,0.129,0.2907,GradientBoosting
0.1739,0.129,0.2964,GradientBoosting
0.186,0.129,0.2989,GradientBoosting
0.175,0.1129,0.3098,GradientBoosting
0.1622,0.0968,0.3165,GradientBoosting
0.1765,0.0968,0.3234,GradientBoosting
0.1935,0.0968,0.3339,GradientBoosting
0.2143,0.0968,0.3659,GradientBoosting
0.24,0.0968,0.3785,GradientBoosting
0.2727,0.0968,0.3958,GradientBoosting
0.2105,0.0645,0.4077,GradientBoosting
0.25,0.0645,0.4401,GradientBoosting
0.2308,0.0484,0.4717,GradientBoosting
0.2,0.0323,0.5153,GradientBoosting
0.2857,0.0323,0.5548,GradientBoosting
0.0,0.0,0.5894,GradientBoosting
0.0,0.0,0.8725,GradientBoosting
0.0496,1.0,0.0079,SVM
0.049,0.9839,0.0103,SVM
0.0492,0.9839,0.0106,SVM
0.0498,0.9839,0.0108,SVM
0.05,0.9839,0.011,SVM
0.0504,0.9839,0.0112,SVM
0.0507,0.9839,0.0114,SVM
0.051,0.9839,0.0116,SVM
0.0512,0.9839,0.0117,SVM
0.0514,0.9839,0.0117,SVM
0.0517,0.9839,0.0118,SVM
0.0524,0.9839,0.0118,SVM
0.0526,0.9839,0.0119,SVM
0.0529,0.9839,0.0119,SVM
0.0531,0.9839,0.012,SVM
0.0534,0.9839,0.012,SVM
0.0528,0.9677,0.0121,SVM
0.053,0.9677,0.0121,SVM
0.0532,0.9677,0.0122,SVM
0.0536,0.9677,0.0122,SVM
0.0538,0.9677,0.0122,SVM
0.0541,0.9677,0.0122,SVM
0.0543,0.9677,0.0122,SVM
0.0547,0.9677,0.0122,SVM
0.0549,0.9677,0.0123,SVM
0.0552,0.9677,0.0124,SVM
0.0555,0.9677,0.0124,SVM
0.0558,0.9677,0.0124,SVM
0.056,0.9677,0.0125,SVM
0.0565,0.9677,0.0125,SVM
0.0568,0.9677,0.0125,SVM
0.0571,0.9677,0.0126,SVM
0.0575,0.9677,0.0126,SVM
0.0577,0.9677,0.0126,SVM
0.058,0.9677,0.0126,SVM
0.0583,0.9677,0.0127,SVM
0.0586,0.9677,0.0127,SVM
0.0589,0.9677,0.0127,SVM
0.0592,0.9677,0.0127,SVM
0.0597,0.9677,0.0128,SVM
0.06,0.9677,0.0128,SVM
0.0604,0.9677,0.0128,SVM
0.0607,0.9677,0.0128,SVM
0.061,0.9677,0.0129,SVM
0.0614,0.9677,0.0129,SVM
0.0618,0.9677,0.013,SVM
0.0621,0.9677,0.013,SVM
0.0626,0.9677,0.013,SVM
0.0632,0.9677,0.0131,SVM
0.0635,0.9677,0.0131,SVM
0.0638,0.9677,0.0131,SVM
0.0643,0.9677,0.0132,SVM
0.0647,0.9677,0.0132,SVM
0.065,0.9677,0.0132,SVM
0.0654,0.9677,0.0133,SVM
0.0657,0.9677,0.0133,SVM
0.0661,0.9677,0.0133,SVM
0.0664,0.9677,0.0133,SVM
0.0668,0.9677,0.0133,SVM
0.0672,0.9677,0.0133,SVM
0.0676,0.9677,0.0134,SVM
0.068,0.9677,0.0134,SVM
0.0686,0.9677,0.0134,SVM
